State,Composite score,English score,Mathematics score,Reading score,Science score,Year
   United States ,21,20.3,20.7,21.4,21,2017
Alabama ,19.2,18.9,18.4,19.7,19.4,2017
Alaska ,19.8,18.7,19.8,20.4,19.9,2017
Arizona ,19.7,18.6,19.8,20.1,19.8,2017
Arkansas ,19.4,18.9,19,19.7,19.5,2017
California ,22.8,22.5,22.7,23.1,22.2,2017
Colorado ,20.8,20.1,20.3,21.2,20.9,2017
Connecticut ,25.2,25.5,24.6,25.6,24.6,2017
Delaware ,24.1,24.1,23.4,24.8,23.6,2017
District of Columbia ,24.2,24.4,23.5,24.9,23.5,2017
Florida ,19.8,19,19.4,21,19.4,2017
Georgia ,21.4,21,20.9,22,21.3,2017
Hawaii ,19,17.8,19.2,19.2,19.3,2017
Idaho ,22.3,21.9,21.8,23,22.1,2017
Illinois ,21.4,21,21.2,21.6,21.3,2017
Indiana ,22.6,22,22.4,23.2,22.3,2017
Iowa ,21.9,21.2,21.3,22.6,22.1,2017
Kansas ,21.7,21.1,21.3,22.3,21.7,2017
Kentucky ,20,19.6,19.4,20.5,20.1,2017
Louisiana ,19.5,19.4,18.8,19.8,19.6,2017
Maine ,24.3,24.2,24,24.8,23.7,2017
Maryland ,23.6,23.3,23.1,24.2,23.2,2017
Massachusetts ,25.4,25.4,25.3,25.9,24.7,2017
Michigan ,24.1,24.1,23.7,24.5,23.8,2017
Minnesota ,21.5,20.4,21.5,21.8,21.6,2017
Mississippi ,18.6,18.2,18.1,18.8,18.8,2017
Missouri ,20.4,19.8,19.9,20.8,20.5,2017
Montana ,20.3,19,20.2,21,20.5,2017
Nebraska ,21.4,20.9,20.9,21.9,21.5,2017
Nevada ,17.8,16.3,18,18.1,18.2,2017
New Hampshire ,25.5,25.4,25.1,26,24.9,2017
New Jersey ,23.9,23.8,23.8,24.1,23.2,2017
New Mexico ,19.7,18.6,19.4,20.4,20,2017
New York ,24.2,23.8,24,24.6,23.9,2017
North Carolina ,19.1,17.8,19.3,19.6,19.3,2017
North Dakota ,20.3,19,20.4,20.5,20.6,2017
Ohio ,22,21.2,21.6,22.5,22,2017
Oklahoma ,19.4,18.5,18.8,20.1,19.6,2017
Oregon ,21.8,21.2,21.5,22.4,21.7,2017
Pennsylvania ,23.7,23.4,23.4,24.2,23.3,2017
Rhode Island ,24,24,23.3,24.7,23.4,2017
South Carolina ,18.7,17.5,18.6,19.1,18.9,2017
South Dakota ,21.8,20.7,21.5,22.3,22,2017
Tennessee ,19.8,19.5,19.2,20.1,19.9,2017
Texas ,20.7,19.5,20.7,21.1,20.9,2017
Utah ,20.3,19.5,19.9,20.8,20.6,2017
Vermont ,23.6,23.3,23.1,24.4,23.2,2017
Virginia ,23.8,23.5,23.3,24.6,23.5,2017
Washington ,21.9,20.9,21.9,22.1,22,2017
West Virginia ,20.4,20,19.4,21.2,20.5,2017
Wisconsin ,20.5,19.7,20.4,20.6,20.9,2017
Wyoming ,20.2,19.4,19.8,20.8,20.6,2017
   United States ,20.3,19.6,19.9,20.9,20.4,2021
Alabama ,18.7,18.4,18,19.2,18.8,2021
Alaska ,20.6,19.4,20.5,21.6,20.6,2021
Arizona ,19.8,18.6,19.8,20.3,19.9,2021
Arkansas ,19,18.6,18.3,19.3,19.2,2021
California ,26.1,26.2,25.6,26.6,25.5,2021
Colorado ,23.6,23.3,23,24.3,23.4,2021
Connecticut ,27.2,27.5,26.2,28,26.4,2021
Delaware ,25.7,25.9,24.5,27,25,2021
District of Columbia ,25.6,25.8,24.5,26.8,25,2021
Florida ,20.4,19.9,19.6,21.4,20.1,2021
