State,Composite score,English score,Mathematics score,Reading score,Science score,All districts,Low-poverty districts,Low-middle poverty districts,High-middle poverty districts,High-poverty districts
United States,21.0,20.3,20.7,21.4,21.0,11940,12146.0,10742.0,13108.0,11825.0
Alabama,19.2,18.9,18.4,19.7,19.4,9511,9341.0,9588.0,9525.0,9805.0
Alaska,19.8,18.7,19.8,20.4,19.9,17794,18061.0,15321.0,15719.0,29513.0
Arizona,19.7,18.6,19.8,20.1,19.8,7984,7472.0,7840.0,8396.0,9153.0
Arkansas,19.4,18.9,19.0,19.7,19.5,9750,9285.0,10177.0,9632.0,10437.0
California,22.8,22.5,22.7,23.1,22.2,11639,11085.0,11720.0,12745.0,11839.0
Colorado,20.8,20.1,20.3,21.2,20.9,9716,9522.0,9442.0,10640.0,9515.0
Connecticut,25.2,25.5,24.6,25.6,24.6,19126,19782.0,18674.0,17361.0,18865.0
Delaware,24.1,24.1,23.4,24.8,23.6,15180,13973.0,15736.0,16950.0,13606.0
Florida,19.8,19.0,19.4,21.0,19.4,9075,9173.0,8883.0,9320.0,9133.0
Georgia,21.4,21.0,20.9,22.0,21.3,10214,9757.0,10084.0,11339.0,10286.0
Hawaii,19.0,17.8,19.2,19.2,19.3,14322,11791.9,11898.979591836734,11925.3125,13099.84
Idaho,22.3,21.9,21.8,23.0,22.1,7481,7165.0,7639.0,7099.0,8234.0
Illinois,21.4,21.0,21.2,21.6,21.3,14935,15989.0,14033.0,14446.0,13722.0
Indiana,22.6,22.0,22.4,23.2,22.3,9932,9447.0,10091.0,10191.0,11202.0
Iowa,21.9,21.2,21.3,22.6,22.1,10841,10516.0,10970.0,10945.0,11385.0
Kansas,21.7,21.1,21.3,22.3,21.7,10465,9601.0,11103.0,11254.0,11328.0
Kentucky,20.0,19.6,19.4,20.5,20.1,10121,9540.0,11287.0,9714.0,10198.0
Louisiana,19.5,19.4,18.8,19.8,19.6,11199,11422.0,11328.0,10472.0,11627.0
Maine,24.3,24.2,24.0,24.8,23.7,14020,13959.0,14394.0,14041.0,13613.0
Maryland,23.6,23.3,23.1,24.2,23.2,14848,14048.0,15247.0,14785.0,15929.0
Massachusetts,25.4,25.4,25.3,25.9,24.7,16055,15697.0,16103.0,14736.0,18217.0
Michigan,24.1,24.1,23.7,24.5,23.8,10646,10350.0,10435.0,11383.0,13352.0
Minnesota,21.5,20.4,21.5,21.8,21.6,11980,11142.0,11845.0,12183.0,16340.0
Mississippi,18.6,18.2,18.1,18.8,18.8,8769,8244.0,9064.0,8931.0,9559.0
Missouri,20.4,19.8,19.9,20.8,20.5,10141,10447.0,9607.0,9637.0,10800.0
Montana,20.3,19.0,20.2,21.0,20.5,11276,10812.0,10845.0,11260.0,13930.0
Nebraska,21.4,20.9,20.9,21.9,21.5,12122,11186.0,12223.0,13119.0,13244.0
Nevada,17.8,16.3,18.0,18.1,18.2,9320,10178.0,11898.979591836734,11925.3125,9035.0
New Hampshire,25.5,25.4,25.1,26.0,24.9,15733,15376.0,17453.0,15214.0,14405.0
New Jersey,23.9,23.8,23.8,24.1,23.2,18269,18380.0,17430.0,18667.0,18831.0
New Mexico,19.7,18.6,19.4,20.4,20.0,9881,9786.0,9457.0,9960.0,11402.0
New York,24.2,23.8,24.0,24.6,23.9,23102,22095.0,20110.0,11925.3125,24461.0
North Carolina,19.1,17.8,19.3,19.6,19.3,9072,8831.0,9080.0,9180.0,9433.0
North Dakota,20.3,19.0,20.4,20.5,20.6,13220,12360.0,13137.0,13707.0,15730.0
Ohio,22.0,21.2,21.6,22.5,22.0,11698,11056.0,11047.0,12422.0,15404.0
Oklahoma,19.4,18.5,18.8,20.1,19.6,7942,7439.0,7980.0,8624.0,8589.0
Oregon,21.8,21.2,21.5,22.4,21.7,10660,10298.0,10891.0,10401.0,11263.0
Pennsylvania,23.7,23.4,23.4,24.2,23.3,15286,15501.0,15119.0,15566.0,14571.0
Rhode Island,24.0,24.0,23.3,24.7,23.4,16004,16453.0,15979.0,13531.0,16385.0
South Carolina,18.7,17.5,18.6,19.1,18.9,10556,10138.0,10141.0,11293.0,11211.0
South Dakota,21.8,20.7,21.5,22.3,22.0,9925,9306.0,9560.0,10273.0,14948.0
Tennessee,19.8,19.5,19.2,20.1,19.9,9176,8712.0,8731.0,9713.0,10192.0
Texas,20.7,19.5,20.7,21.1,20.9,9285,8876.0,9200.0,9791.0,10070.0
Utah,20.3,19.5,19.9,20.8,20.6,7179,6904.0,6803.0,7197.0,8599.0
Vermont,23.6,23.3,23.1,24.4,23.2,15009,15043.0,13946.0,15485.0,15978.0
Virginia,23.8,23.5,23.3,24.6,23.5,11885,12628.0,10668.0,11719.0,11705.0
Washington,21.9,20.9,21.9,22.1,22.0,11815,11425.0,12244.0,11891.0,12095.0
West Virginia,20.4,20.0,19.4,21.2,20.5,11400,11259.0,11561.0,11383.0,11415.0
Wisconsin,20.5,19.7,20.4,20.6,20.9,11949,11285.0,12252.0,12375.0,14184.0
Wyoming,20.2,19.4,19.8,20.8,20.6,16537,17104.0,15840.0,15092.0,18429.0
